Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CMP	6.811051703473027e-08	5.977895965548977e-08	0.12727386050455708
MEP	6.622674290864983e-08	6.37144699827878e-08	0.14930235737565417
LMPP	6.611393817349457e-08	6.548946826148198e-08	0.15635896058545845
GMP	4.462554820068692e-08	5.0425677095862885e-08	0.18808460503044633
MPP	3.988044056476319e-08	5.086546520119745e-08	0.2165090049415213
HSC	4.467256069546217e-08	6.048001023193418e-08	0.2300647929081734
CLP	1.8563204125509177e-08	6.172734234930089e-08	0.38181056300205674
Erythro	-5.757472310502627e-09	5.752507461632003e-08	0.539862097135238
NK	-4.379261166279534e-08	3.941649723036073e-08	0.8667206478887217
Mono	-6.962521708706686e-08	5.285586951123963e-08	0.9061251891374857
Bcell	-5.692217929501204e-08	3.8594776759444933e-08	0.9298759061568959
CD8	-7.140414893223009e-08	4.007717044067858e-08	0.9625981772984717
CD4	-1.0601004920660448e-07	3.996806367133417e-08	0.9960035419955502
