Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8T	1.0209202265408744e-05	9.051984825687585e-06	0.1296934755362581
Plasma-cell	2.3381287613794447e-05	2.3412983847832595e-05	0.15898305291024262
CM	3.3498356966267853e-06	3.6510899319736437e-06	0.17944316654818598
Basophils	1.5473369067250166e-06	4.3372388336237105e-06	0.3606371589915324
NCM	1.3463988835922575e-06	3.954901244844982e-06	0.3667633326386255
NK	1.5233368143523418e-06	5.347482906893794e-06	0.3878719162563338
Naive-T	4.642484633295573e-07	8.544853245429982e-06	0.47833581709260997
memory-B	-6.334279747351833e-07	4.625789266889167e-06	0.5544585306575872
Naive-B	-3.1581331887822485e-06	6.327986696777942e-06	0.691136348634726
cDC	-5.934126552286613e-06	4.502773838685542e-06	0.9062284967806589
CD4T	-7.880976520099367e-06	2.42527241696657e-06	0.9994220046919493
