,Mono_TC-YH,Mono_TC-AH,Mono_TC-ACR,Mono_TC-YCR,Mono_BC-YH,Mono_BC-AH,Mono_BC-YCR,Mono_BC-ACR,TC_Mono-YH,TC_Mono-AH,TC_Mono-YCR,TC_Mono-ACR,BC_Mono-YH,BC_Mono-AH,BC_Mono-YCR,BC_Mono-ACR,TC_BC-YH,TC_BC-AH,TC_BC-YCR,TC_BC-ACR,BC_TC-YH,BC_TC-AH,BC_TC-YCR,BC_TC-ACR
IL1B-IL1R1,0.697292385,1.245773831,-0.248245652,2.539183105,0,-0.587719372,-0.336651222,-1.519627112,-0.697292385,-1.245773831,0.248245652,-2.539183105,0,0.587719372,0.336651222,1.519627112,0,-0.093601568,0,-0.845802535,0,0.093601568,0,0.845802535
IL1B-IL1R2,0.473729745,2.200564661,0.53375518,1.818964436,0,-1.52958334,1.962834508,-1.667276123,-0.473729745,-2.200564661,-0.53375518,-1.818964436,0,1.52958334,-1.962834508,1.667276123,0,-0.3202575,0.153319379,-0.590732603,0,0.3202575,-0.153319379,0.590732603
IL18-IL18R1,6.235303546,6.319536274,5.161634728,6.09816217,4.46301011,3.051674728,2.969464684,1.6000279,-6.235303546,-6.319536274,-5.161634728,-6.09816217,-4.46301011,-3.051674728,-2.969464684,-1.6000279,-0.789487619,-2.491688599,-1.43685665,-3.337003095,0.789487619,2.491688599,1.43685665,3.337003095
IL18-IL18RAP,5.01505429,6.007085579,4.125242901,5.431229695,2.746024742,2.936340247,1.305888375,-0.280827696,-5.01505429,-6.007085579,-4.125242901,-5.431229695,-2.746024742,-2.936340247,-1.305888375,0.280827696,-0.482458112,-2.230447092,-0.93508667,-2.802829404,0.482458112,2.230447092,0.93508667,2.802829404
IL2-IL2RG,-1.369635165,-1.562329073,-0.360663812,-0.84098046,0,-0.742282594,0,1.070944931,1.369635165,1.562329073,0.360663812,0.84098046,0,0.742282594,0,-1.070944931,2.389820812,0.562954311,0.758899606,3.681112184,-2.389820812,-0.562954311,-0.758899606,-3.681112184
IL4-IL4R,-0.538428338,-1.069440644,0.288143662,-1.394768981,0,0,1.850713042,0,0.538428338,1.069440644,-0.288143662,1.394768981,0,0,-1.850713042,0,2.021323399,3.403501785,1.874400168,2.960033794,-2.021323399,-3.403501785,-1.874400168,-2.960033794
IL4-IL2RG,-0.363499081,-0.677303951,0.826875308,-0.811394058,0,0,1.22679185,0,0.363499081,0.677303951,-0.826875308,0.811394058,0,0,-1.22679185,0,0.821423918,1.298784233,1.245594412,1.770634014,-0.821423918,-1.298784233,-1.245594412,-1.770634014
IL4-IL13RA1,-0.888011229,-1.397046397,-1.470534761,-1.741642403,0,0,0.423969422,0,0.888011229,1.397046397,1.470534761,1.741642403,0,0,-0.423969422,0,0.292672173,0.612510293,0.432359038,0.93179568,-0.292672173,-0.612510293,-0.432359038,-0.93179568
IL7-IL7R,2.988303153,2.102691235,5.809297983,4.820026885,-3.885764665,-3.958128541,-2.785191578,-3.323564887,-2.988303153,-2.102691235,-5.809297983,-4.820026885,3.885764665,3.958128541,2.785191578,3.323564887,-7.009279407,-6.257607621,-8.972038305,-8.879796586,7.009279407,6.257607621,8.972038305,8.879796586
IL7-IL2RG,1.244412981,0.157342554,2.891814541,1.348170761,-3.302193828,-3.284807243,-2.454822482,-2.249516299,-1.244412981,-0.157342554,-2.891814541,-1.348170761,3.302193828,3.284807243,2.454822482,2.249516299,-4.798968074,-3.603900897,-5.711288879,-3.780562621,4.798968074,3.603900897,5.711288879,3.780562621
IL13-IL13RA1,0,0,-1.326200814,0,0,0,-0.752109493,0,0,0,1.326200814,0,0,0,0.752109493,0,0,0,0.370252971,0,0,0,-0.370252971,0
IL13-IL4R,0,0,0.892522272,0,0,0,1.169157205,0,0,0,-0.892522272,0,0,0,-1.169157205,0,0,0,0.224544012,0,0,0,-0.224544012,0
