Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,AGT,LRP2,k12,559,0.3992857142857143,24.3202475250258,34048.34653503612,0.352444699339172,0.4679371410741891,800,0.5714285714285714,63.82833866870481,89359.67413618673,0.4677102728008231,0.583381374126475,1552.320995534077,0.1648420064751282,3042549151.24679,0.2729858123646746
k12,AGT,LRP2,k14,559,0.3992857142857143,24.3202475250258,34048.34653503612,0.352444699339172,0.4679371410741891,399,0.5298804780876494,47.52665001319974,35787.5674599394,0.3482575750304101,0.23363782918014,1155.859892356289,0.122741536324182,1218507498.521999,0.1093278178333345
k12,AGT,LRP2,k15,559,0.3992857142857143,24.3202475250258,34048.34653503612,0.352444699339172,0.4679371410741891,294,0.2634408602150538,25.11483543907737,28028.15635001035,0.1840321521687667,0.182980796693385,610.7990144286517,0.06486115653986171,954312380.1433254,0.08562351087618003
k14,AGT,LRP2,k12,342,0.4541832669322709,30.72520680935036,23136.08072744083,0.4452642295236623,0.3179664381094099,800,0.5714285714285714,63.82833866870481,89359.67413618673,0.4677102728008231,0.583381374126475,1961.13890589321,0.2082546542589604,2067432634.592622,0.1854956975903683
k14,AGT,LRP2,k14,342,0.4541832669322709,30.72520680935036,23136.08072744083,0.4452642295236623,0.3179664381094099,399,0.5298804780876494,47.52665001319974,35787.5674599394,0.3482575750304101,0.23363782918014,1460.266150611176,0.1550666408216946,827984049.7918924,0.07428898835202388
k14,AGT,LRP2,k15,342,0.4541832669322709,30.72520680935036,23136.08072744083,0.4452642295236623,0.3179664381094099,294,0.2634408602150538,25.11483543907737,28028.15635001035,0.1840321521687667,0.182980796693385,771.6585128484539,0.08194293444300726,648461687.9551725,0.05818175216701774
k15,AGT,LRP2,k12,175,0.1568100358422939,13.95898117174966,15578.22298767262,0.2022910711371657,0.2140964208164009,800,0.5714285714285714,63.82833866870481,89359.67413618673,0.4677102728008231,0.583381374126475,890.9785777005113,0.09461361206673446,1392064929.799279,0.124899864171432
k15,AGT,LRP2,k14,175,0.1568100358422939,13.95898117174966,15578.22298767262,0.2022910711371657,0.2140964208164009,399,0.5298804780876494,47.52665001319974,35787.5674599394,0.3482575750304101,0.23363782918014,663.423612690591,0.07044939788453351,557506706.0773127,0.05002102299478164
k15,AGT,LRP2,k15,175,0.1568100358422939,13.95898117174966,15578.22298767262,0.2022910711371657,0.2140964208164009,294,0.2634408602150538,25.11483543907737,28028.15635001035,0.1840321521687667,0.182980796693385,350.5775150256721,0.03722806118589768,436628869.5538136,0.03917553365018726
k12,COL1A2,CD44,k12,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,632,0.4514285714285714,59.45264899682847,83233.70859555986,0.1481703267757914,0.188965625187345,20.01831330995434,0.02262319275648314,39235894.08751051,0.04238597233216616
