Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
k12,AGT,LRP2,k12,0.3992857142857143,24.320247525025803,0.3524446993391721,0.5714285714285714,63.828338668704816,0.4677102728008231,1552.3209955340772,0.1648420064751282
k12,AGT,LRP2,k14,0.3992857142857143,24.320247525025803,0.3524446993391721,0.5298804780876494,47.52665001319974,0.3482575750304101,1155.859892356289,0.12274153632418199
k12,AGT,LRP2,k15,0.3992857142857143,24.320247525025803,0.3524446993391721,0.2634408602150538,25.11483543907737,0.1840321521687667,610.7990144286517,0.06486115653986171
k14,AGT,LRP2,k12,0.4541832669322709,30.725206809350357,0.4452642295236623,0.5714285714285714,63.828338668704816,0.4677102728008231,1961.1389058932102,0.2082546542589604
k14,AGT,LRP2,k14,0.4541832669322709,30.725206809350357,0.4452642295236623,0.5298804780876494,47.52665001319974,0.3482575750304101,1460.266150611176,0.1550666408216946
k14,AGT,LRP2,k15,0.4541832669322709,30.725206809350357,0.4452642295236623,0.2634408602150538,25.11483543907737,0.1840321521687667,771.6585128484538,0.08194293444300726
k12,JAG1,NOTCH3,k12,0.4235714285714286,74.98413618074581,0.26716574598334,0.67,82.20118656906958,0.5323760709379736,6163.784967914007,0.1422326501358233
k12,JAG1,NOTCH3,k14,0.4235714285714286,74.98413618074581,0.26716574598334,0.5033200531208499,34.22421313966271,0.2216531522562379,2566.273058743339,0.059218129772096666
k12,JAG1,NOTCH3,k15,0.4235714285714286,74.98413618074581,0.26716574598334,0.2939068100358423,37.978960397540654,0.2459707768057885,2847.8195384523406,0.06571496607542013
k14,JAG1,NOTCH3,k12,0.4289508632138114,44.8529330416636,0.1598093667003375,0.67,82.20118656906958,0.5323760709379736,3686.9643171277753,0.08507868274301153
k14,JAG1,NOTCH3,k14,0.4289508632138114,44.8529330416636,0.1598093667003375,0.5033200531208499,34.22421313966271,0.2216531522562379,1535.056340356915,0.03542224988920287
k14,JAG1,NOTCH3,k15,0.4289508632138114,44.8529330416636,0.1598093667003375,0.2939068100358423,37.978960397540654,0.2459707768057885,1703.467767702885,0.039308434068123135
k15,JAG1,NOTCH3,k12,0.5197132616487455,160.82816315892183,0.5730248873163225,0.67,82.20118656906958,0.5323760709379736,13220.26584538729,0.3050647380591388
k15,JAG1,NOTCH3,k14,0.5197132616487455,160.82816315892183,0.5730248873163225,0.5033200531208499,34.22421313966271,0.2216531522562379,5504.217334811388,0.1270127725949384
k15,JAG1,NOTCH3,k15,0.5197132616487455,160.82816315892183,0.5730248873163225,0.2939068100358423,37.978960397540654,0.2459707768057885,6108.086439421898,0.1409473766622453
k12,JAG1,CD46,k12,0.4235714285714286,74.98413618074581,0.26716574598334,0.4964285714285714,44.10731278218564,0.2876910592593636,3307.348748226158,0.07686119645976516
k12,JAG1,CD46,k14,0.4235714285714286,74.98413618074581,0.26716574598334,0.5205843293492696,41.98606557647527,0.2738551708982785,3148.2888588801457,0.07316472102443365
k12,JAG1,CD46,k15,0.4235714285714286,74.98413618074581,0.26716574598334,0.4238351254480286,67.22147576206218,0.4384537698423577,5040.544292813175,0.1171398284991412
k14,JAG1,CD46,k12,0.4289508632138114,44.8529330416636,0.1598093667003375,0.4964285714285714,44.10731278218564,0.2876910592593636,1978.3423468670849,0.04597572598558817
k14,JAG1,CD46,k14,0.4289508632138114,44.8529330416636,0.1598093667003375,0.5205843293492696,41.98606557647527,0.2738551708982785,1883.1981879845418,0.0437646214288666
k14,JAG1,CD46,k15,0.4289508632138114,44.8529330416636,0.1598093667003375,0.4238351254480286,67.22147576206218,0.4384537698423577,3015.0803513175874,0.07006901928588273
k15,JAG1,CD46,k12,0.5197132616487455,160.82816315892183,0.5730248873163225,0.4964285714285714,44.10731278218564,0.2876910592593636,7093.698096634947,0.1648541368140103
k15,JAG1,CD46,k14,0.5197132616487455,160.82816315892183,0.5730248873163225,0.5205843293492696,41.98606557647527,0.2738551708982785,6752.541804934554,0.1569258284449783
k15,JAG1,CD46,k15,0.5197132616487455,160.82816315892183,0.5730248873163225,0.4238351254480286,67.22147576206218,0.4384537698423577,10811.106471644442,0.2512449220573338
k12,JAG1,NOTCH2,k12,0.4235714285714286,74.98413618074581,0.26716574598334,0.5242857142857142,52.00058654396081,0.4161949004552518,3899.2190628910166,0.1111930210545893
k12,JAG1,NOTCH2,k14,0.4235714285714286,74.98413618074581,0.26716574598334,0.5219123505976095,35.51367666687499,0.2842393155060788,2662.962367467929,0.07593900876497549
k12,JAG1,NOTCH2,k15,0.4235714285714286,74.98413618074581,0.26716574598334,0.3261648745519714,37.42860967655507,0.2995657840386695,2806.5519650427864,0.08003371616377528
k14,JAG1,NOTCH2,k12,0.4289508632138114,44.8529330416636,0.1598093667003375,0.5242857142857142,52.00058654396081,0.4161949004552518,2332.378826383508,0.0665118434656638
k14,JAG1,NOTCH2,k14,0.4289508632138114,44.8529330416636,0.1598093667003375,0.5219123505976095,35.51367666687499,0.2842393155060788,1592.892561602634,0.04542410500236388
k14,JAG1,NOTCH2,k15,0.4289508632138114,44.8529330416636,0.1598093667003375,0.3261648745519714,37.42860967655507,0.2995657840386695,1678.782923665087,0.04787341823230985
k15,JAG1,NOTCH2,k12,0.5197132616487455,160.82816315892183,0.5730248873163225,0.5242857142857142,52.00058654396081,0.4161949004552518,8363.158817051763,0.2384900359349987
k15,JAG1,NOTCH2,k14,0.5197132616487455,160.82816315892183,0.5730248873163225,0.5219123505976095,35.51367666687499,0.2842393155060788,5711.599385353363,0.1628762017387394
k15,JAG1,NOTCH2,k15,0.5197132616487455,160.82816315892183,0.5730248873163225,0.3261648745519714,37.42860967655507,0.2995657840386695,6019.574543872596,0.1716586496425844
k12,MYOC,FZD7,k14,0.2585714285714286,16.03842804274507,0.3063674742214336,0.3359893758300133,22.98925797904653,0.5875742426684737,368.71155985304085,0.18001363664391198
