Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
k12,CP,SLC40A1,k12,0.39015606242497,64.35041866547283,0.5704913469333869,0.4561824729891957,72.97191781719016,0.4301653585999027,4695.773462358663,0.2454056148317419
k12,CP,SLC40A1,k14,0.39015606242497,64.35041866547283,0.5704913469333869,0.3984375,58.974890343540146,0.3476536674912862,3795.0588843571586,0.1983334090334357
k12,CP,SLC40A1,k15,0.39015606242497,64.35041866547283,0.5704913469333869,0.2785145888594164,37.690091599627706,0.2221809739088111,2425.373173976063,0.1267523230682093
k14,CP,SLC40A1,k12,0.2786458333333333,23.30494285424686,0.2066073308433417,0.4561824729891957,72.97191781719016,0.4301653585999027,1700.606374694415,0.08887531656159484
k14,CP,SLC40A1,k14,0.2786458333333333,23.30494285424686,0.2066073308433417,0.3984375,58.974890343540146,0.3476536674912862,1374.4064492916777,0.07182779629827328
k14,CP,SLC40A1,k15,0.2786458333333333,23.30494285424686,0.2066073308433417,0.2785145888594164,37.690091599627706,0.2221809739088111,878.3654309006531,0.04590421798347361
k12,JAG1,NOTCH3,k12,0.5414165666266506,124.55736380425729,0.338003529333296,0.5126050420168067,92.49001574494085,0.7088764342446734,11520.31253940408,0.2396027366359017
k14,JAG1,NOTCH3,k12,0.5364583333333334,84.75900881789894,0.2300052220779467,0.5126050420168067,92.49001574494085,0.7088764342446734,7839.362060093053,0.1630452816842691
k15,JAG1,NOTCH3,k12,0.4995579133510168,159.1926901380574,0.4319912485887573,0.5126050420168067,92.49001574494085,0.7088764342446734,14723.734417348418,0.3062284159245026
k12,JAG1,CD46,k12,0.5414165666266506,124.55736380425729,0.338003529333296,0.8619447779111644,91.09134809923813,0.2851810502896847,11346.098184617042,0.09639220149688958
k12,JAG1,CD46,k14,0.5414165666266506,124.55736380425729,0.338003529333296,0.8541666666666666,106.8552553556052,0.3345333512693817,13309.60891572493,0.1130734534087462
k12,JAG1,CD46,k15,0.5414165666266506,124.55736380425729,0.338003529333296,0.6763925729442971,121.46924835827059,0.3802855984409337,15129.8893587908,0.1285378744276602
k14,JAG1,CD46,k12,0.5364583333333334,84.75900881789894,0.2300052220779467,0.8619447779111644,91.09134809923813,0.2851810502896847,7720.812376777624,0.065593130804301
k14,JAG1,CD46,k14,0.5364583333333334,84.75900881789894,0.2300052220779467,0.8541666666666666,106.8552553556052,0.3345333512693817,9056.945530924586,0.07694441775119387
k14,JAG1,CD46,k15,0.5364583333333334,84.75900881789894,0.2300052220779467,0.6763925729442971,121.46924835827059,0.3802855984409337,10295.61309270222,0.08746767352245181
k15,JAG1,CD46,k12,0.4995579133510168,159.1926901380574,0.4319912485887573,0.8619447779111644,91.09134809923813,0.2851810502896847,14501.076752219942,0.123195717988494
k15,JAG1,CD46,k14,0.4995579133510168,159.1926901380574,0.4319912485887573,0.8541666666666666,106.8552553556052,0.3345333512693817,17010.57555544786,0.1445154801094415
k15,JAG1,CD46,k15,0.4995579133510168,159.1926901380574,0.4319912485887573,0.6763925729442971,121.46924835827059,0.3802855984409337,19337.016415200917,0.1642800504908217
k12,JAG1,NOTCH2,k12,0.5414165666266506,124.55736380425729,0.338003529333296,0.7238895558223291,71.46171056955453,0.5312311231549631,8901.08228148654,0.1795579945180683
k12,JAG1,NOTCH2,k14,0.5414165666266506,124.55736380425729,0.338003529333296,0.4114583333333333,29.89584279255452,0.2222393225375594,3723.747366947096,0.0751176753743358
k12,JAG1,NOTCH2,k15,0.5414165666266506,124.55736380425729,0.338003529333296,0.2953138815207781,33.16338762708963,0.2465295543074775,4130.744137649007,0.08332785944089185
k14,JAG1,NOTCH2,k12,0.5364583333333334,84.75900881789894,0.2300052220779467,0.7238895558223291,71.46171056955453,0.5312311231549631,6057.023756307013,0.1221859324559743
k14,JAG1,NOTCH2,k14,0.5364583333333334,84.75900881789894,0.2300052220779467,0.4114583333333333,29.89584279255452,0.2222393225375594,2533.942002872649,0.05111620473470378
k14,JAG1,NOTCH2,k15,0.5364583333333334,84.75900881789894,0.2300052220779467,0.2953138815207781,33.16338762708963,0.2465295543074775,2810.89586431589,0.05670308488726857
k15,JAG1,NOTCH2,k12,0.4995579133510168,159.1926901380574,0.4319912485887573,0.7238895558223291,71.46171056955453,0.5312311231549631,11376.181947434641,0.2294871961809204
k15,JAG1,NOTCH2,k14,0.4995579133510168,159.1926901380574,0.4319912485887573,0.4114583333333333,29.89584279255452,0.2222393225375594,4759.199638091209,0.09600544242851984
k15,JAG1,NOTCH2,k15,0.4995579133510168,159.1926901380574,0.4319912485887573,0.2953138815207781,33.16338762708963,0.2465295543074775,5279.368890447566,0.1064986099793171
k12,PROS1,TYRO3,k12,0.695078031212485,58.160965435358065,0.3804296654252037,0.2220888355342137,11.63864624756639,0.6779118755184417,676.9149021190685,0.2578977879912531
k14,PROS1,TYRO3,k12,0.4505208333333333,30.885990196643444,0.2020246195860426,0.2220888355342137,11.63864624756639,0.6779118755184417,359.47111390453637,0.1369548887644739
k15,PROS1,TYRO3,k12,0.4129089301503094,63.83535277145054,0.4175457149887538,0.2220888355342137,11.63864624756639,0.6779118755184417,742.9570889955194,0.2830591987627147
k12,IL1B,IL1R1,k12,0.39015606242497,44.15939876444767,0.7533932110425801,0.7430972388955582,127.48542417336891,0.4713164368208759,5629.679682726554,0.3550866037536269
k12,IL1B,IL1R1,k14,0.39015606242497,44.15939876444767,0.7533932110425801,0.4947916666666667,67.45843267540832,0.2493953197257829,2978.9238285380015,0.1878927407471985
k12,IL1B,IL1R1,k15,0.39015606242497,44.15939876444767,0.7533932110425801,0.3969938107869143,75.54410880182417,0.2792882434533412,3335.9824248845753,0.2104138665417546
k12,IL6,IL6R,k12,0.2701080432172869,17.97029778370318,0.2425293266538762,0.8103241296518607,142.5772899003141,0.37980520494793696,2562.15635670202,0.0921139006156606
k12,IL6,IL6R,k14,0.2701080432172869,17.97029778370318,0.2425293266538762,0.8697916666666666,123.57466681533751,0.3291849753140025,2220.6735611935173,0.07983701040747787
k12,IL6,IL6R,k15,0.2701080432172869,17.97029778370318,0.2425293266538762,0.6427939876215738,109.24387262759899,0.2910098197380604,1963.144922162895,0.07057841563073766
k14,IL6,IL6R,k12,0.3515625,38.0920352670479,0.5140947454176825,0.8103241296518607,142.5772899003141,0.37980520494793696,5431.059155162877,0.1952558601460204
