Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,AGT,LRP2,k12,558,0.7760778859527121,40.51304107867275,29128.87653556571,0.3188271734681097,0.4668619071568983,275,0.3824756606397774,11.60908018269285,8346.928651356158,0.3292161340490065,0.4542475944626088,470.3191423270411,0.1049630494789431,243136654.1365295,0.2120708982722468
k12,AGT,LRP2,k14,558,0.7760778859527121,40.51304107867275,29128.87653556571,0.3188271734681097,0.4668619071568983,213,0.3402555910543131,12.5658507737703,7866.222584380206,0.356348715632506,0.4280871247032404,509.0808285862278,0.1136136537741031,229134226.4616896,0.1998575714682678
k12,AGT,LRP2,k15,558,0.7760778859527121,40.51304107867275,29128.87653556571,0.3188271734681097,0.4668619071568983,54,0.2769230769230769,11.08786142225041,2162.13297733883,0.3144351503184875,0.1176652808341508,449.2029852742618,0.1002504702150635,62980504.55037787,0.05493343741638367
k14,AGT,LRP2,k12,429,0.6853035143769968,38.01771383685259,23799.08886186972,0.2991895923286798,0.3814389477425554,275,0.3824756606397774,11.60908018269285,8346.928651356158,0.3292161340490065,0.4542475944626088,441.3506882946931,0.09849804093414624,198649296.6973116,0.1732677244464045
k14,AGT,LRP2,k14,429,0.6853035143769968,38.01771383685259,23799.08886186972,0.2991895923286798,0.3814389477425554,213,0.3402555910543131,12.5658507737703,7866.222584380206,0.356348715632506,0.4280871247032404,477.7249188337919,0.1066158269569381,187208930.2929111,0.1632891023889401
k14,AGT,LRP2,k15,429,0.6853035143769968,38.01771383685259,23799.08886186972,0.2991895923286798,0.3814389477425554,54,0.2769230769230769,11.08786142225041,2162.13297733883,0.3144351503184875,0.1176652808341508,421.5351426137935,0.0940757244375954,51456794.85886578,0.04488212090721075
k15,AGT,LRP2,k12,127,0.6512820512820513,48.5382167721248,9464.952270564336,0.3819832342032106,0.1516991451005463,275,0.3824756606397774,11.60908018269285,8346.928651356158,0.3292161340490065,0.4542475944626088,563.4840504325236,0.1257550436359172,79003281.29089198,0.06890897174395741
k15,AGT,LRP2,k14,127,0.6512820512820513,48.5382167721248,9464.952270564336,0.3819832342032106,0.1516991451005463,213,0.3402555910543131,12.5658507737703,7866.222584380206,0.356348715632506,0.4280871247032404,609.9239887834348,0.1361192349014649,74453421.31079389,0.06494045084603253
k15,AGT,LRP2,k15,127,0.6512820512820513,48.5382167721248,9464.952270564336,0.3819832342032106,0.1516991451005463,54,0.2769230769230769,11.08786142225041,2162.13297733883,0.3144351503184875,0.1176652808341508,538.1850212524704,0.1201089556658285,20464485.43312519,0.01784972251055637
k12,COL1A2,CD44,k12,37,0.05146036161335188,0.7807714237545448,561.3746536795177,0.0974857538415242,0.1672784114388933,520,0.7232267037552156,44.47712262219902,31979.0511653611,0.3451215580671572,0.4819176885049094,34.7264663542398,0.03364443525513819,17952228.77295416,0.08061442537740467
