Path,Sample,Condition
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/ES/UVR19.fcs,UVR19,ES
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/ES/UVR9Q.fcs,UVR9Q,ES
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/ES/UVR14.fcs,UVR14,ES
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/ES/UVR6.fcs,UVR6,ES
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/ES/UVR3.fcs,UVR3,ES
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/CHC/UN3.fcs,UN3,CHC
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/CHC/HH3.fcs,HH3,CHC
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/CHC/HH5.fcs,HH5,CHC
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/CHC/PCV6.fcs,PCV6,CHC
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/CHC/UN2.fcs,UN2,CHC
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/LS/UVR15.fcs,UVR15,LS
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/LS/UVR12.fcs,UVR12,LS
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/LS/UVR9.fcs,UVR9,LS
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/LS/UVR16Q.fcs,UVR16Q,LS
/home/ye/Work/R/Cytof/VKH/VKH-15/cohort-1/LS/UVQ15.fcs,UVQ15,LS
