Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PDR.4_R1.mLb.clN.bam.raw	DME.4_R1.mLb.clN.bam.raw	PDR.4_R1.mLb.clN.bam.pseudo	DME.4_R1.mLb.clN.bam.pseudo
Interval_264	chr1	16281	16538	+	258	6.01471133808945	-0.961596930987888	2.53287362522793	-0.379646628007884	0.704207743530188	1	3	3	2.38402096384412	4.64283392889094
Interval_265	chr1	87748	88015	+	268	6.75897197120615	4.48096856488383	3.01427239462967	1.48658381799444	0.137124764303398	1	8	0	6.35738923691765	0
Interval_266	chr1	190920	191172	+	253	6.44631718401329	-0.546562005065792	2.40883758517527	-0.22689865370314	0.820502548944467	1	4	3	3.17869461845882	4.64283392889094
Interval_267	chr1	191242	191959	+	718	21.554225817981	-0.447031239589159	1.25535724960195	-0.356098823447193	0.721766558309052	1	20	14	15.8934730922941	21.6665583348244
Interval_268	chr1	268234	268543	+	310	5.94940560296382	-2.54653507145331	2.45786290385286	-1.0360769380023	0.300166250290582	1	3	9	2.38402096384412	13.9285017866728
Interval_269	chr1	629087	629337	+	251	586.288826159161	-1.96170109293141	4.22853273875121	-0.463920043695995	0.642705031815615	1	1	2	0.794673654614706	3.09522261926063
Interval_270	chr1	633864	634160	+	297	1959.76251860907	-0.304255701329831	0.263893272282676	-1.15294982209293	0.248930980729007	1	2309	1464	1834.90146850536	2265.70295729878
Interval_271	chr1	778396	779083	+	688	43.385279124492	0.163923565029634	0.852184492669543	0.192356897408598	0.847462652750749	1	48	22	38.1443354215059	34.0474488118669
Interval_272	chr1	827101	827799	+	699	31.9076289622645	0.289932552796232	0.985621355998013	0.294162206441493	0.768633958528568	1	50	21	39.7336827307353	32.4998375022366
Interval_273	chr1	1013377	1013579	+	203	13.2252380144585	0.231039303377058	1.61608496947112	0.142962348973933	0.886319916854427	1	16	7	12.7147784738353	10.8332791674122
Interval_274	chr1	1115904	1116465	+	562	58.7138356089644	0.143745600409261	0.7206830750557	0.199457438900103	0.841904933232553	1	71	33	56.4218294776441	51.0711732178004
Interval_275	chr1	1231945	1232174	+	230	30.5143269034581	-0.68597124340328	1.03542696811992	-0.662500847016601	0.50765029217248	1	23	19	18.2774940561382	29.404614882976
Interval_276	chr1	1324457	1324751	+	295	12.3107244475488	-1.11360288069623	1.65730643528542	-0.671935410969695	0.501624815839428	1	9	10	7.15206289153236	15.4761130963031
Interval_277	chr1	1375259	1375593	+	335	31.4093092620118	-0.0871371564886571	1.04301499255734	-0.0835435320781037	0.933419364758217	1	33	18	26.2242306022853	27.8570035733457
Interval_278	chr1	1399333	1399663	+	331	44.7553262312111	-0.030869295254409	0.81769242982549	-0.0377517195077825	0.969885639156821	1	61	32	48.4750929314971	49.5235619081701
