Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UBR.18_R1.mLb.clN.bam.raw	PDR.4_R1.mLb.clN.bam.raw	UBR.18_R1.mLb.clN.bam.pseudo	PDR.4_R1.mLb.clN.bam.pseudo
Interval_264	chr1	16281	16538	+	258	6.01471133808945	0.303012852637604	2.49841980556729	0.121281800585472	0.903467834629885	1	4	3	2.94121217301322	2.38402096384412
Interval_265	chr1	87748	88015	+	268	6.75897197120615	0.588415132075021	2.25468382019453	0.260974566280541	0.794112120935926	1	13	8	9.55893956229296	6.35738923691765
Interval_266	chr1	190920	191172	+	253	6.44631718401329	-0.527059390013056	2.40885459674997	-0.218800832032023	0.826805198711037	1	3	4	2.20590912975991	3.17869461845882
Interval_267	chr1	191242	191959	+	718	21.554225817981	0.0896102272997795	1.23197122047468	0.072737273249981	0.942015187328206	1	23	20	16.911969994826	15.8934730922941
Interval_268	chr1	268234	268543	+	310	5.94940560296382	0.303012564377927	2.51599715537772	0.12043438273778	0.904139056124226	1	4	3	2.94121217301322	2.38402096384412
Interval_269	chr1	629087	629337	+	251	586.288826159161	10.7270969722218	4.10387593332032	2.61389407148643	0.00895167854933133	1	1832	1	1347.07517524005	0.794673654614706
Interval_270	chr1	633864	634160	+	297	1959.76251860907	-0.18375685738461	0.262993040931697	-0.698713763427429	0.484730930807136	1	2197	2309	1615.46078602751	1834.90146850536
Interval_271	chr1	778396	779083	+	688	43.385279124492	0.512467141848318	0.812243047814053	0.630928320319261	0.528087393511813	1	74	48	54.4124252007446	38.1443354215059
Interval_272	chr1	827101	827799	+	699	31.9076289622645	-0.711485296599823	0.967166399141678	-0.735638973015644	0.461950438044202	1	33	50	24.2650004273591	39.7336827307353
Interval_273	chr1	1013377	1013579	+	203	13.2252380144585	0.347407653712382	1.55210137498766	0.223830517330187	0.822889182955013	1	22	16	16.1766669515727	12.7147784738353
Interval_274	chr1	1115904	1116465	+	562	58.7138356089644	0.0236315336529365	0.694980021439169	0.0340031841548484	0.972874611582498	1	78	71	57.3536373737578	56.4218294776441
Interval_275	chr1	1231945	1232174	+	230	30.5143269034581	1.17176881436954	0.999866719360017	1.17192500928479	0.241227165175196	1	56	23	41.1769704221851	18.2774940561382
Interval_276	chr1	1324457	1324751	+	295	12.3107244475488	1.17748142830678	1.62269947958747	0.72563123555455	0.468064867204609	1	22	9	16.1766669515727	7.15206289153236
Interval_277	chr1	1375259	1375593	+	335	31.4093092620118	0.398170971637811	1.00823420134648	0.3949191280221	0.692902572899204	1	47	33	34.5592430329053	26.2242306022853
Interval_278	chr1	1399333	1399663	+	331	44.7553262312111	0.0233282850266181	0.796645760595974	0.0292831345881588	0.976638777783585	1	67	61	49.2653038979714	48.4750929314971
Interval_279	chr1	1471602	1471792	+	191	13.8942790054309	-0.281948241607392	1.51483264420732	-0.186125010367023	0.852346729158668	1	16	18	11.7648486920529	14.3041257830647
Interval_280	chr1	1511747	1512209	+	463	20.6929904466195	0.00827066878897537	1.23290394795309	0.00670828315758629	0.994647604583012	1	25	23	18.3825760813326	18.2774940561382
Interval_281	chr1	1574797	1575222	+	426	12.407508177297	0.735972270436585	1.6455650286097	0.447245935372356	0.654697498228779	1	18	10	13.2354547785595	7.94673654614706
Interval_282	chr1	1615242	1615839	+	598	42.1835578121227	0.571502548140853	0.844793001184071	0.676500098059322	0.498723183803424	1	53	33	38.9710612924252	26.2242306022853
Interval_283	chr1	1658950	1659372	+	423	22.8544335536107	0.851449962563217	1.16849864006021	0.728670050073267	0.466203517418907	1	39	20	28.6768186868789	15.8934730922941
Interval_284	chr1	1692481	1693416	+	936	54.4284913371	0.0985433992268371	0.720774203803791	0.136718820827365	0.891253052359591	1	81	70	59.5595465035177	55.6271558230294
Interval_285	chr1	1724256	1724780	+	525	28.3113394766977	2.00345252845784	1.05833650142657	1.89302034443423	0.0583551640058921	1	65	15	47.7946978114648	11.9201048192206
Interval_286	chr1	1745744	1746754	+	1011	45.8730388478513	1.20248668816772	0.800817945469755	1.50157310406219	0.133207393783145	1	97	39	71.3243951955706	30.9922725299735
Interval_287	chr1	1780254	1780622	+	369	16.3248805135334	-0.182412707447606	1.4114116331652	-0.129241323481606	0.897166698974236	1	20	21	14.7060608650661	16.6881467469088
Interval_288	chr1	1919287	1919745	+	459	51.8972211969582	-0.193323610331532	0.739066124584453	-0.261578232178115	0.793646628033224	1	69	73	50.735909984478	58.0111767868736
Interval_289	chr1	2133087	2133682	+	596	44.7961241286874	0.253625828062462	0.813468658022838	0.31178315914335	0.755205323589842	1	67	52	49.2653038979714	41.3230300399647
Interval_290	chr1	2151222	2151463	+	242	6.99221533341727	1.05789882597937	2.22130928238592	0.476250126161213	0.633896192153521	1	9	4	6.61772738927974	3.17869461845882
Interval_291	chr1	2189487	2189842	+	356	23.0340951594843	0.676471781475655	1.27099118160306	0.532239555448718	0.594560090090971	1	38	22	27.9415156436256	17.4828204015235
Interval_292	chr1	2194838	2195398	+	561	28.7964281106158	-0.318474272053356	1.01847463468767	-0.312697303601498	0.754510644328659	1	39	45	28.6768186868789	35.7603144576618
Interval_293	chr1	2227736	2227926	+	191	24.3588370453452	-0.112023488682156	1.13138986972734	-0.0990140460680924	0.921127117758274	1	28	28	20.5884852110925	22.2508623292118
Interval_294	chr1	2255782	2256307	+	526	32.6983146179905	-0.112023508768977	0.96010415233298	-0.116678496282688	0.907114831345937	1	41	41	30.1474247733855	32.581619839203
Interval_295	chr1	2300602	2301298	+	697	47.4163049871515	-0.136685572550951	0.783184916988022	-0.174525287178177	0.861452659420786	1	58	59	42.6475765086917	46.8857456222677
Interval_296	chr1	2391503	2391838	+	336	43.3590106712063	-0.261401093805786	0.8299914624387	-0.314944316460474	0.752803932822447	1	55	61	40.4416673789318	48.4750929314971
Interval_297	chr1	2412548	2412859	+	312	28.85301445742	-0.401529977750712	1.01617431697908	-0.395138876314444	0.692740399284836	1	36	44	26.470909557119	34.9656408030471
Interval_298	chr1	2546301	2546501	+	201	18.1806874763026	0.187536575064821	1.30154391259186	0.144087781634172	0.885431152883214	1	32	26	23.5296973841058	20.6615150199824
Interval_299	chr1	2546709	2547071	+	363	20.3056225264876	0.051475140693124	1.23415117109992	0.0417089428738682	0.966730724784091	1	28	25	20.5884852110925	19.8668413653677
Interval_300	chr1	2556244	2556535	+	292	11.2227971019816	-0.812461932590889	1.7423263383569	-0.466308701593227	0.640994551136061	1	8	13	5.88242434602644	10.3307575099912
Interval_301	chr1	2577981	2578179	+	199	4.62408059618795	2.47292859138139	2.92617251359837	0.845106903263327	0.398051154366114	1	12	2	8.82363651903966	1.58934730922941
Interval_302	chr1	2586382	2586643	+	262	27.5490800220587	0.209904409229136	1.0781274614539	0.19469350028991	0.845632900562339	1	35	28	25.7356065138657	22.2508623292118
Interval_303	chr1	2642926	2643331	+	406	25.6741300559011	0.418490894969484	1.11766060921029	0.374434682157384	0.708080943838807	1	39	27	28.6768186868789	21.4561886745971
Interval_304	chr1	2653764	2654170	+	407	44.7226112412226	-1.00184024494067	0.888830696022736	-1.12714406627001	0.259681574700131	1	34	63	25.0003034706124	50.0644402407265
Interval_305	chr1	2657993	2658232	+	240	19.5588954353405	0.440513491105577	4.22654002485151	0.104225557670202	0.916990352334903	1	22	15	16.1766669515727	11.9201048192206
Interval_306	chr1	2659878	2660115	+	238	17.3502362510424	0.952105639970095	1.54371564848117	0.616762316885791	0.537391510777745	1	23	11	16.911969994826	8.74141020076177
Interval_307	chr1	2671775	2672041	+	267	15.3068391412015	0.0944271930896759	1.54384154186071	0.0611637856148551	0.951228770603804	1	15	13	11.0295456487996	10.3307575099912
Interval_308	chr1	2682859	2683072	+	214	11.0680684726051	0.624936653908719	4.09198511690247	0.152722122895154	0.87861741387569	1	10	6	7.35303043253305	4.76804192768824
Interval_309	chr1	2683973	2684357	+	385	26.0670213232118	0.209904309552022	1.24489855344032	0.168611578005247	0.866102173028977	1	15	12	11.0295456487996	9.53608385537648
Interval_310	chr1	3624492	3625011	+	520	39.1225502191605	0.929796246115953	0.882809650902594	1.05322392563937	0.292238375421183	1	70	34	51.4712130277313	27.0189042569
Interval_311	chr1	3796429	3796785	+	357	25.3617285676442	0.303013753064042	1.09949077164503	0.275594630604022	0.782859434173763	1	40	30	29.4121217301322	23.8402096384412
Interval_312	chr1	3857149	3857685	+	537	37.5361154357705	-0.176153826443469	0.904149388991995	-0.194828231471635	0.845527420252809	1	44	46	32.3533339031454	36.5549881122765
Interval_313	chr1	3900395	3901396	+	1002	127.410973828457	0.326097497963438	0.580247453053178	0.561997293133404	0.574117863371552	1	210	155	154.413639083194	123.174416465279
Interval_314	chr1	5992110	5992883	+	774	72.4332681743525	0.151010814311868	0.635630604659215	0.237576374084175	0.812209676660727	1	102	85	75.0009104118371	67.54726064225
Interval_315	chr1	6028201	6028480	+	280	12.4605796544757	1.17748168446546	1.61291473526421	0.730033434949416	0.465369747577219	1	22	9	16.1766669515727	7.15206289153236
