Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UVR.11_R1.mLb.clN.bam.raw	UVR.14_R1.mLb.clN.bam.raw	DME.4_R1.mLb.clN.bam.raw	UVR.11_R1.mLb.clN.bam.pseudo	UVR.14_R1.mLb.clN.bam.pseudo	DME.4_R1.mLb.clN.bam.pseudo
Interval_264	chr1	16281	16538	+	258	6.01471133808945	1.1106188492101	2.13855054695092	0.519332522111104	0.603528877898765	1	9	10	3	7.92986902091013	12.1756206037888	4.64283392889094
Interval_265	chr1	87748	88015	+	268	6.75897197120615	4.97668956913936	2.78951593983571	1.78406923512058	0.0744124156204442	1	12	6	0	10.5731586945468	7.3053723622733	0
Interval_266	chr1	190920	191172	+	253	6.44631718401329	1.2539740472977	2.05754388327628	0.609451908894876	0.542224939888674	1	10	11	3	8.81096557878903	13.3931826641677	4.64283392889094
Interval_267	chr1	191242	191959	+	718	21.554225817981	0.304307745117103	1.08708726901218	0.27992945349606	0.779531629588523	1	37	17	14	32.6005726415194	20.698555026441	21.6665583348244
Interval_268	chr1	268234	268543	+	310	5.94940560296382	-1.41375803216586	2.06795510015584	-0.683650255297766	0.494196042292567	1	5	5	9	4.40548278939451	6.08781030189442	13.9285017866728
Interval_269	chr1	629087	629337	+	251	586.288826159161	7.99604893098639	3.48008232827479	2.29766085302653	0.021581099258642	1	1791	2	2	1578.04393516112	2.43512412075777	3.09522261926063
Interval_270	chr1	633864	634160	+	297	1959.76251860907	-0.150768300367288	0.22900602126895	-0.658359546757166	0.510307123102423	1	2203	1759	1464	1941.05571700722	2141.69166420646	2265.70295729878
Interval_271	chr1	778396	779083	+	688	43.385279124492	0.406734471543999	0.748264947945137	0.543570125342583	0.586737322447564	1	50	38	22	44.0548278939451	46.2673582943976	34.0474488118669
Interval_272	chr1	827101	827799	+	699	31.9076289622645	-0.0430382061285645	0.869848197655629	-0.0494778356092004	0.960538500183635	1	37	25	21	32.6005726415194	30.4390515094721	32.4998375022366
Interval_273	chr1	1013377	1013579	+	203	13.2252380144585	0.279059187237764	1.42069001017886	0.196425106982087	0.844277446488699	1	12	13	7	10.5731586945468	15.8283067849255	10.8332791674122
Interval_274	chr1	1115904	1116465	+	562	58.7138356089644	0.335398865940246	0.6326191068568	0.530175048943261	0.595990568783631	1	77	50	33	67.8444349566755	60.8781030189442	51.0711732178004
Interval_275	chr1	1231945	1232174	+	230	30.5143269034581	0.114532668059526	0.89318596153368	0.128229364311619	0.897967462527598	1	35	27	19	30.8383795257616	32.8741756302298	29.404614882976
Interval_276	chr1	1324457	1324751	+	295	12.3107244475488	-0.446576221189449	1.42632216887441	-0.313096319285191	0.754207485408289	1	12	10	10	10.5731586945468	12.1756206037888	15.4761130963031
Interval_277	chr1	1375259	1375593	+	335	31.4093092620118	0.304228826874664	0.910583402852045	0.334103197929796	0.738301686999215	1	50	20	18	44.0548278939451	24.3512412075777	27.8570035733457
Interval_278	chr1	1399333	1399663	+	331	44.7553262312111	-0.371897515093136	0.72149005083666	-0.515457579299774	0.606233305478516	1	44	31	32	38.7682485466717	37.7444238717454	49.5235619081701
Interval_279	chr1	1471602	1471792	+	191	13.8942790054309	0.588788036611634	1.37873141153302	0.427050571044114	0.669342494018525	1	19	13	7	16.7408345996992	15.8283067849255	10.8332791674122
Interval_280	chr1	1511747	1512209	+	463	20.6929904466195	0.73228008023932	1.12259115827744	0.652312353290729	0.51419969248367	1	32	19	10	28.1950898521249	23.1336791471988	15.4761130963031
