chr	start	end	interval_id	num_peaks	num_samples	DME-4_R1.mLb.clN.bool	PDR-4_R1.mLb.clN.bool	UBR-18_R1.mLb.clN.bool	UVR-11_R1.mLb.clN.bool	UVR-14_R1.mLb.clN.bool	DME-4_R1.mLb.clN.fc	PDR-4_R1.mLb.clN.fc	UBR-18_R1.mLb.clN.fc	UVR-11_R1.mLb.clN.fc	UVR-14_R1.mLb.clN.fc	DME-4_R1.mLb.clN.qval	PDR-4_R1.mLb.clN.qval	UBR-18_R1.mLb.clN.qval	UVR-11_R1.mLb.clN.qval	UVR-14_R1.mLb.clN.qval	DME-4_R1.mLb.clN.pval	PDR-4_R1.mLb.clN.pval	UBR-18_R1.mLb.clN.pval	UVR-11_R1.mLb.clN.pval	UVR-14_R1.mLb.clN.pval	DME-4_R1.mLb.clN.start	PDR-4_R1.mLb.clN.start	UBR-18_R1.mLb.clN.start	UVR-11_R1.mLb.clN.start	UVR-14_R1.mLb.clN.start	DME-4_R1.mLb.clN.end	PDR-4_R1.mLb.clN.end	UBR-18_R1.mLb.clN.end	UVR-11_R1.mLb.clN.end	UVR-14_R1.mLb.clN.end	DME-4_R1.mLb.clN.summit	PDR-4_R1.mLb.clN.summit	UBR-18_R1.mLb.clN.summit	UVR-11_R1.mLb.clN.summit	UVR-14_R1.mLb.clN.summit
GL000008.2	1991	2351	Interval_1	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	3.35033	NA	NA	NA	NA	5.6947	NA	NA	NA	NA	8.95648	NA	NA	NA	NA	1991	NA	NA	NA	NA	2351	NA	NA	NA	NA	265	NA	NA
GL000008.2	2878	3134	Interval_2	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	3.78331	NA	NA	NA	NA	8.24967	NA	NA	NA	NA	11.6686	NA	NA	NA	NA	2878	NA	NA	NA	NA	3134	NA	NA	NA	NA	164	NA	NA
GL000008.2	132620	132943	Interval_3	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	6.53489	NA	NA	NA	NA	8.30729	NA	NA	NA	NA	11.7297	NA	NA	NA	NA	132620	NA	NA	NA	NA	132943	NA	NA	NA	NA	157	NA	NA
GL000008.2	170111	170435	Interval_4	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	4.22305	NA	NA	NA	NA	3.02559	NA	NA	NA	NA	6.23239	NA	NA	NA	NA	170111	NA	NA	NA	NA	170435	NA	NA	NA	NA	93	NA
GL000009.2	3258	3473	Interval_5	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.86618	NA	NA	NA	NA	3.88189	NA	NA	NA	NA	6.99486	NA	NA	NA	NA	3258	NA	NA	NA	NA	3473	NA	NA	NA	NA	98	NA	NA	NA
GL000009.2	68740	68939	Interval_6	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	4.40045	NA	NA	NA	NA	3.19419	NA	NA	NA	NA	6.25897	NA	NA	NA	NA	68740	NA	NA	NA	NA	68939	NA	NA	NA	NA	182	NA	NA
GL000009.2	76117	76568	Interval_7	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.21048	NA	NA	NA	NA	3.90922	NA	NA	NA	NA	7.02443	NA	NA	NA	NA	76117	NA	NA	NA	NA	76568	NA	NA	NA	NA	322	NA	NA	NA
GL000009.2	86765	86956	Interval_8	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.33613	NA	NA	NA	NA	3.86029	NA	NA	NA	NA	6.96656	NA	NA	NA	NA	86765	NA	NA	NA	NA	86956	NA	NA	NA	NA	159	NA	NA	NA
GL000009.2	91887	92351	Interval_9	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	3.44373	NA	NA	NA	NA	2.45463	NA	NA	NA	NA	5.58651	NA	NA	NA	NA	91887	NA	NA	NA	NA	92351	NA	NA	NA	NA	275	NA
GL000009.2	131084	131624	Interval_10	2	2	TRUE	TRUE	FALSE	FALSE	FALSE	5.03894	4.86618	NA	NA	NA	3.77563	3.88189	NA	NA	NA	7.2674	6.99486	NA	NA	NA	131161	131084	NA	NA	NA	131624	131501	NA	NA	NA	285	155	NA	NA	NA
