Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UVR.11_R1.mLb.clN.bam.raw	UVR.14_R1.mLb.clN.bam.raw	PDR.4_R1.mLb.clN.bam.raw	UVR.11_R1.mLb.clN.bam.pseudo	UVR.14_R1.mLb.clN.bam.pseudo	PDR.4_R1.mLb.clN.bam.pseudo
Interval_264	chr1	16281	16538	+	258	6.01471133808945	2.07221578019799	2.13856774897611	0.968973641910626	0.332558340419107	1	9	10	3	7.92986902091013	12.1756206037888	2.38402096384412
Interval_265	chr1	87748	88015	+	268	6.75897197120615	0.495721004255529	1.96956640988677	0.251690423723274	0.80128035953145	1	12	6	8	10.5731586945468	7.3053723622733	6.35738923691765
Interval_266	chr1	190920	191172	+	253	6.44631718401329	1.8005360523635	2.01497037718102	0.893579415734379	0.371546963861499	1	10	11	4	8.81096557878903	13.3931826641677	3.17869461845882
Interval_267	chr1	191242	191959	+	718	21.554225817981	0.751338984706262	1.06637836314722	0.704570732745196	0.481077417377502	1	37	17	20	32.6005726415194	20.698555026441	15.8934730922941
Interval_268	chr1	268234	268543	+	310	5.94940560296382	1.13277703928745	2.1769276439773	0.520355852166882	0.60281557441367	1	5	5	3	4.40548278939451	6.08781030189442	2.38402096384412
Interval_269	chr1	629087	629337	+	251	586.288826159161	9.95775002391779	3.62659940019419	2.74575405912895	0.00603720028513916	1	1791	2	1	1578.04393516112	2.43512412075777	0.794673654614706
Interval_270	chr1	633864	634160	+	297	1959.76251860907	0.153487400962543	0.227867248366404	0.673582544498629	0.500576753795511	1	2203	1759	2309	1941.05571700722	2141.69166420646	1834.90146850536
Interval_271	chr1	778396	779083	+	688	43.385279124492	0.242810906514366	0.713201062896159	0.340452249928459	0.733515976313677	1	50	38	48	44.0548278939451	46.2673582943976	38.1443354215059
Interval_272	chr1	827101	827799	+	699	31.9076289622645	-0.332970758924796	0.836153380793594	-0.398217320617388	0.690469999504539	1	37	25	50	32.6005726415194	30.4390515094721	39.7336827307353
Interval_273	chr1	1013377	1013579	+	203	13.2252380144585	0.048019883860706	1.36055964462533	0.0352942144435938	0.971845136663517	1	12	13	16	10.5731586945468	15.8283067849255	12.7147784738353
Interval_274	chr1	1115904	1116465	+	562	58.7138356089644	0.191653265530985	0.605351776931451	0.316598171236041	0.751548523595949	1	77	50	71	67.8444349566755	60.8781030189442	56.4218294776441
Interval_275	chr1	1231945	1232174	+	230	30.5143269034581	0.800503911462806	0.882457862142954	0.90712989911934	0.364338108620708	1	35	27	23	30.8383795257616	32.8741756302298	18.2774940561382
Interval_276	chr1	1324457	1324751	+	295	12.3107244475488	0.667026659506777	1.43441088820383	0.465017844602412	0.641918677723612	1	12	10	9	10.5731586945468	12.1756206037888	7.15206289153236
Interval_277	chr1	1375259	1375593	+	335	31.4093092620118	0.391365983363322	0.881251819559164	0.444102326573462	0.656968604463512	1	50	20	33	44.0548278939451	24.3512412075777	26.2242306022853
Interval_278	chr1	1399333	1399663	+	331	44.7553262312111	-0.341028219838727	0.699733402522969	-0.487368787325445	0.625997008663279	1	44	31	61	38.7682485466717	37.7444238717454	48.4750929314971
Interval_279	chr1	1471602	1471792	+	191	13.8942790054309	0.187824092478994	1.31118546810246	0.143247539763244	0.886094685633307	1	19	13	18	16.7408345996992	15.8283067849255	14.3041257830647
Interval_280	chr1	1511747	1512209	+	463	20.6929904466195	0.492252750767839	1.06891270042002	0.460517262611263	0.645144983627008	1	32	19	23	28.1950898521249	23.1336791471988	18.2774940561382
Interval_281	chr1	1574797	1575222	+	426	12.407508177297	0.498703417701454	1.44676526548507	0.344702371282221	0.730318135256369	1	17	6	10	14.9786414839414	7.3053723622733	7.94673654614706
Interval_282	chr1	1615242	1615839	+	598	42.1835578121227	0.673829195811043	0.739983702862734	0.910600048628419	0.362506144889057	1	44	37	33	38.7682485466717	45.0497962340187	26.2242306022853
Interval_283	chr1	1658950	1659372	+	423	22.8544335536107	0.396980601490654	1.03054145434112	0.385215558111115	0.700077717427764	1	24	17	20	21.1463173890937	20.698555026441	15.8934730922941
Interval_284	chr1	1692481	1693416	+	936	54.4284913371	-0.271976864722221	0.633560209350246	-0.429283374663238	0.667717014235137	1	56	35	70	49.3414072412186	42.6146721132609	55.6271558230294
Interval_285	chr1	1724256	1724780	+	525	28.3113394766977	1.26019350029687	0.942783713852722	1.33667296303522	0.181329410998402	1	33	23	15	29.0761864100038	28.0039273887143	11.9201048192206
Interval_286	chr1	1745744	1746754	+	1011	45.8730388478513	0.531826553977744	0.708879822083667	0.750235141994174	0.453113097129486	1	44	42	39	38.7682485466717	51.1376065359131	30.9922725299735
Interval_287	chr1	1780254	1780622	+	369	16.3248805135334	0.128353071799156	1.22493853011133	0.104783275767715	0.916547780990777	1	26	11	21	22.9085105048515	13.3931826641677	16.6881467469088
