chr	start	end	Naive-B	Naive-T	CM	NK	memory-B	cDC	CD8T
chrX	24081785	24082285	2320.78533997						
chr9	20048948	20049448	1523.79248426						
chr12	89657035	89657535	1416.88616623	462.203459777					
chr13	94559372	94559872	2602.0926539						
chr5	60521334	60521834	5646.04244523						
chr17	75120161	75120661	3375.68776722						
chr17	7169153	7169653	2015.016521685						
chr7	29194964	29195464	1745.749258845						
chr17	1181607	1182107	906.2227881475001						
chr22	50469074	50469574	4085.179890575						
chr19	14613391	14613891	1891.01027701	857.453846561					
chr2	69601067	69601567	354.1332965246667						
chr3	31522117	31522617	838.4828198615						
chr2	69505645	69506145	5368.28124093	795.7394705435001					
chr12	122720472	122720972	6970.17011196	992.9337831335					
chr9	69671228	69671728	2930.28452016	361.817024704					
chr10	132335291	132335791	19246.108728400002	834.5757738345	552.3827541686667	352.9350408145			
chr6	37220919	37221419	2828.70132346						
chr1	226882733	226883233	773.755647709						
chr18	711569	712069	17777.0594223						
chr18	8966777	8967277	3172.52137383						
chr13	112688454	112688954	2266.08669559						
chr6	33430165	33430665	3000.61134864						
chr9	88936566	88937066	6313.78637944						
chr11	44556849	44557349	2539.147159615	931.2194071145					
chr18	48662087	48662587	4977.57663825	248.66772849125					
chr2	223465717	223466217	11236.6643733	1111.561239249					
chr17	40540924	40541424	11963.3749343						
chr16	1289887	1290387	540.7075567456667						
chr2	43107676	43108176	4609.076371525	4005.9529411850003	272.982215105	375.889958086			
chr14	100699014	100699514	325.20605061733335						
chr17	44288440	44288940	439.8979727336667						
chr1	182927979	182928479	1416.88616623						
chr1	201571067	201571567	3696.06554143	315.63368347749997	356.63192505725				
chr12	52859960	52860460	731.9065482835001						
chr11	95461808	95462308	1906.63846112						
chr9	131584667	131585167	1703.47206772						
chr8	42155537	42156037	592.2596304752						
chr9	131720265	131720765	592.2596304752						
chr1	62210162	62210662	2695.86175855	1069.7121398230001					
chr17	46028915	46029415	2617.72083801						
chr15	66921211	66921711	5454.23625353						
chr12	92574772	92575272	381.7186783423333						
chr14	24632238	24632738	4719.71160047						
chr1	201535408	201535908	5133.85847932	342.17820432733333	392.41093727799995				
chr12	6168726	6169226	3375.68776722						
chr10	89241726	89242226	2531.76582542						
chr1	39043551	39044051	782.2565615166667						
chr10	14572366	14572866	4086.77014412						
chr6	100617567	100618067	566.9959822763334						
chr8	30324365	30324865	2563.02219363	1069.7121398230001					
chr7	40733567	40734067	436.58671887025						
chr11	102925043	102925543	1914.45255317						
chr14	22803194	22803694	906.2227881475001						
chr20	19942938	19943438	11010.0557037	334.898309553	401.357498719				
chr19	47159077	47159577	6767.00371856	3181.1068932400003					
chr1	35800132	35800632	15659.4404757						
chr14	100375332	100375832	25872.45879	621.4232306785	712.6518641653333				
chr2	136216116	136216616	1416.88616623	1290.1145715994999					
chr3	30578517	30579017	12041.5158548	886.3575115585	307.63773031233336				
chr2	60984671	60985171	2539.147159615	588.6797104556666					
chr9	130022955	130023455	1664.73380967	1172.3813653765					
chr3	127729482	127729982	10384.9283394	1063.686547553					
chr7	122092913	122093413	1356.960289992						
chr16	81461731	81462231	3805.46283018						
chr8	125182073	125182573	410.97925758266666	1191.5222477576665					
chr5	36657554	36658054	17081.605229499997	652.6433334090001	482.83374939733335				
chr12	104505191	104505691	2015.016521685	331.4734847725					
chr19	7337382	7337882	5071.34574289	3966.786591435	653.6433334090001	671.1485176654			
chr9	104835097	104835597	2617.72083801						
chr20	50516486	50516986	2312.97124791	1853.87987323	285.3378727745				
chr8	93905146	93905646	2850.029364905						
chr16	68384831	68385331	1976.9652895999998						
chr8	141089169	141089669	2664.60539033	1816.8320697249999	457.1949290206667				
chr13	26785783	26786283	6712.242230375						
chr19	10372695	10373195	8290.75166904	283.052348495					
chr11	64900166	64900666	7063.939216600001						
chr8	55927984	55928484	2055.077121325						
chr5	139666950	139667450	8947.13540156						
chr5	14223371	14223871	3633.552805						
chr17	62171466	62171966	5313.58259656						
chr1	58670125	58670625	838.4828198615						
chr17	49403470	49403970	8111.027551800001						
chr22	20244964	20245464	19660.255607299998						
chr4	140720952	140721452	2141.06122273	1277.1691371675	306.9710636456667				
chr2	224519986	224520486	299.28733546633333						
chr4	168881233	168881733	19207.0382681	546.0494208353333	560.391284925				
chr1	154439516	154440016	3485.08505598						
chr3	47083743	47084243	5274.51213629	795.7394705435001	362.1503580373333				
chr7	100365083	100365583	1375.931316694						
chr13	49938255	49938755	1745.749258845						
chr18	51171752	51172252	515.4106004586666						
chr5	157597883	157598383	1589.743952765						
chr5	151124145	151124645	2899.02815195	2211.412473865					
chr19	35711203	35711703	2086.36257835						
chr4	99856118	99856618	7649.99612063						
chr18	69948835	69949335	906.2227881475001						
chr6	144152459	144152959	6524.76686489						
chr2	171336602	171337102	1695.65797567	1409.966324065					
chr18	23563574	23564074	10963.1711514						
chr1	145988771	145989271	4250.86607725						
chr19	49906387	49906887	1249.1597220655						
chrX	46792394	46792894	5243.25576807	232.74897846625					
chr3	123492216	123492716	8759.59719227						
chr18	69897646	69898146	13643.4047259						
chr15	89963200	89963700	11822.7212773	1362.985882262					
chr16	10753118	10753618	2008.22165782	6294.68786407	348.1867350836667	361.80655485825			
chr14	65301887	65302387	2453.62490488	373.438783568					
chr12	32482184	32482684	1617.51705513						
chr6	36682280	36682780	1031.7700864245						
chr13	32030991	32031491	744.851982714						
chr4	2243544	2244044	1211.217668667						
chr10	124615968	124616468	13151.1169265						
chr16	1458910	1459410	3289.73275463	1769.85162792					
chr10	124093068	124093568	1903.87311117	3220.2732429899997	392.41093727799995	325.8361143545			
chr16	81431955	81432455	9150.30179495	1124.5066736805002					
chr6	42452953	42453453	10025.480105						
chr5	89301549	89302049	667.179376131						
chr14	54706501	54707001	299.28733546633333						
chr6	7963187	7963687	1686.717632505	535.1028593943333					
chr18	76573585	76574085	3789.83464607						
chr15	44195091	44195591	12127.4708674						
chr11	10366557	10367057	6470.06822051						
chr14	103418377	103418877	5938.70996086						
chr7	50793191	50793691	592.2596304752						
chr16	88945331	88945831	395.68230129599993						
chr21	14482071	14482571	2211.38805121	1050.741113126					
chr1	155241719	155242219	10642.793377200001	1372.024270667					
chr12	89235590	89236090	1268.1307487675						
chr2	36477235	36477735	436.58671887025						
chrX	20313822	20314322	2422.36853667	626.823756329					
chr15	72372333	72372833	1031.7700864245						
chr9	124216694	124217194	4039.88559179						
chr11	82997136	82997636	242.13352934800002						
chr1	200866550	200867050	638.2757111359999						
chr4	140718263	140718763	8322.00803726						
chr1	243244489	243244989	2117.61894657						
chr8	58632018	58632518	1211.217668667						
chr22	40128933	40129433	17675.4762256						
chr4	152696812	152697312	1073.6191858500001	620.6348026526667					
chr1	43235733	43236233	718.9611138529999						
chr6	37008342	37008842	2961.54088838						
chr16	88599149	88599649	13401.1678722	698.318530832					
chr1	160102805	160103305	680.124810562						
chr5	54440476	54440976	4461.8465627						
chr14	89648442	89648942	566.9959822763334						
chr11	70315550	70316050	7376.50289875	912.2483804175001					
chr15	22787105	22787605	825.537385431						
chr9	133458517	133459017	3000.61134864						
chr18	25188248	25188748	667.179376131						
chr5	56414017	56414517	4196.16743287	769.848601682					
chr4	85842464	85842964	8689.27036378	1034.7828825595	424.93076498000005	324.54245690425			
chr9	134372304	134372804	6688.86279802	1108.548443114					
chr11	9615062	9615562	3539.78370035	2098.150517105	358.47516061433333				
chr3	185537234	185537734	6118.4340781	527.4276619713334					
chr2	159753742	159754242	7384.316990800001	295.6826381153333	434.61807795933333				
chr15	60397866	60398366	14049.7375127						
chr5	134129273	134129773	6071.54952577						
chr12	9761237	9761737	11205.4080051						
chr10	103468311	103468811	773.755647709						
chr2	171655537	171656037	986.9081908635						
chr3	52498696	52499196	18519.398167400002	683.1376066964999	473.4833545513334	580.9659840884			
chr10	79079601	79080101	5469.86443763						
chr2	144607763	144608263	11041.312072	2067.128305865					
chr6	169992337	169992837	2750.56040292						
chr22	36289967	36290467	5219.81349191						
chr8	125459263	125459763	274.69342289266666						
chr17	51372575	51373075	4368.07745805						
chr7	50210621	50211121	1416.88616623						
chr2	207167186	207167686	11158.5234528	1504.821457565					
chr6	4281806	4282306	1961.33710549	1108.548443114	464.9003540515				
chr14	105863037	105863537	854.4410504264999	482.83374939733335					
chr8	60792760	60793260	3813.27692224	6844.805260325001	584.0045130326666	1404.66157483625			
chr2	42648763	42649263	3180.33546588						
chr19	10102703	10103203	2164.50349889	1732.8038244099998					
chr7	139118914	139119414	3133.45091356	1782.79706235					
chr12	26125703	26126203	1726.91434388	1977.9687181800005	305.07168325825				
chr14	97702835	97703335	5618.33218665						
chr17	3693662	3694162	2563.02219363	2039.1188907649998					
chr9	129460292	129460792	23387.577516900004						
chr22	29820691	29821191	3899.23193483	426.94288053633335					
chr7	142771137	142771637	2015.016521685	769.848601682					
chr14	96117049	96117549	2281.7148797						
chrX	148609823	148610323	6319.6844829950005						
chr20	44586219	44586719	6016.8508814	3432.9574721950003					
chr3	133424904	133425404	1375.931316694						
chr8	100768571	100769071	1617.51705513						
chr17	21140925	21141425	1060.673751423						
chr15	65884497	65884997	1656.5875154						
chr1	180428978	180429478	5485.49262174	805.6721088395					
chr10	60944485	60944985	4250.86607725						
chr5	157503989	157504489	1914.45255317	436.95994204900006					
chr2	229297234	229297734	8314.193945199999	279.7104844053333					
