# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-p" "--donotsort" "-a" "consensus_peaks.mLb.clN.saf" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "UBR-18_R1.mLb.clN.bam" "UVR-11_R1.mLb.clN.bam" "UVR-14_R1.mLb.clN.bam" "PDR-4_R1.mLb.clN.bam" "DME-4_R1.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	UBR-18_R1.mLb.clN.bam	UVR-11_R1.mLb.clN.bam	UVR-14_R1.mLb.clN.bam	PDR-4_R1.mLb.clN.bam	DME-4_R1.mLb.clN.bam
Interval_1	GL000008.2	1991	2351	+	361	73	54	50	39	20
Interval_2	GL000008.2	2878	3134	+	257	71	38	38	24	11
Interval_3	GL000008.2	132620	132943	+	324	21	14	9	12	3
Interval_4	GL000008.2	170111	170435	+	325	4	11	0	5	1
Interval_5	GL000009.2	3258	3473	+	216	4	4	2	9	4
Interval_6	GL000009.2	68740	68939	+	200	12	6	2	4	1
Interval_7	GL000009.2	76117	76568	+	452	15	10	9	22	12
Interval_8	GL000009.2	86765	86956	+	192	8	5	7	16	1
Interval_9	GL000009.2	91887	92351	+	465	18	26	10	12	9
Interval_10	GL000009.2	131084	131624	+	541	14	8	8	19	14
Interval_11	GL000009.2	191376	191591	+	216	9	7	5	12	3
Interval_12	GL000009.2	200744	200948	+	205	4	10	11	5	3
Interval_13	GL000194.1	1772	2072	+	301	17	20	9	11	2
Interval_14	GL000194.1	2386	3150	+	765	38	53	30	31	20
Interval_15	GL000194.1	21572	21783	+	212	16	30	20	10	10
Interval_16	GL000194.1	82068	82294	+	227	6	3	2	15	4
Interval_17	GL000194.1	101404	101939	+	536	23	25	18	13	10
Interval_18	GL000194.1	109854	110067	+	214	11	4	5	3	3
Interval_19	GL000194.1	114672	115025	+	354	21	9	6	12	5
Interval_20	GL000194.1	182413	182690	+	278	11	16	5	15	13
Interval_21	GL000195.1	16141	16372	+	232	9	18	14	9	5
Interval_22	GL000195.1	23939	24156	+	218	9	18	19	15	4
Interval_23	GL000195.1	30521	31530	+	1010	139	125	82	185	70
Interval_24	GL000195.1	32095	32931	+	837	78	97	58	126	31
Interval_25	GL000195.1	91936	92415	+	480	6	12	12	16	6
Interval_26	GL000205.2	43066	43326	+	261	9	12	11	22	4
Interval_27	GL000205.2	80949	81174	+	226	25	11	16	8	10
Interval_28	GL000205.2	87727	88378	+	652	74	47	25	61	42
Interval_29	GL000205.2	88813	89698	+	886	127	93	64	128	54
Interval_30	GL000205.2	135849	136340	+	492	26	15	13	9	5
Interval_31	GL000205.2	145452	145871	+	420	19	23	10	8	7
Interval_32	GL000205.2	177914	178116	+	203	0	4	7	2	1
Interval_33	GL000208.1	89640	90259	+	620	22	16	18	12	11
Interval_34	GL000208.1	90319	90775	+	457	4	16	13	4	7
Interval_35	GL000214.1	109054	109290	+	237	10	25	11	9	3
Interval_36	GL000214.1	117069	117290	+	222	21	53	21	9	6
Interval_37	GL000214.1	117502	117686	+	185	26	25	6	9	6
Interval_38	GL000214.1	118446	118756	+	311	50	62	16	14	29
Interval_39	GL000214.1	119829	120010	+	182	37	38	10	13	18
Interval_40	GL000214.1	120801	121185	+	385	73	32	5	19	33
Interval_41	GL000214.1	123444	123646	+	203	57	71	22	22	22
Interval_42	GL000214.1	124222	124528	+	307	72	74	33	21	25
Interval_43	GL000214.1	125267	126463	+	1197	139	203	72	63	28
Interval_44	GL000214.1	127057	127260	+	204	20	50	30	10	8
Interval_45	GL000214.1	127535	127714	+	180	44	29	7	19	15
Interval_46	GL000214.1	129010	129777	+	768	164	131	41	49	99
Interval_47	GL000214.1	131208	132149	+	942	150	169	47	54	67
Interval_48	GL000214.1	132988	133325	+	338	40	62	16	22	17
Interval_49	GL000214.1	133684	133984	+	301	31	76	32	11	18
Interval_50	GL000214.1	136381	137099	+	719	80	74	38	22	31
Interval_51	GL000216.2	307	790	+	484	7	53	7	1	1
Interval_52	GL000216.2	173809	174005	+	197	39	47	36	39	15
Interval_53	GL000216.2	174672	174928	+	257	25	27	15	14	5
Interval_54	GL000218.1	1369	1659	+	291	3	11	6	5	5
