chr	start	end	Naive-B	Naive-T	CM	NK	memory-B	cDC	CD8T
chrX	24081785	24082285	1.0						
chr9	20048948	20049448	1.0						
chr12	89657035	89657535	0.9507	0.3101					
chr13	94559372	94559872	1.0						
chr5	60521334	60521834	1.0						
chr17	75120161	75120661	1.0						
chr17	7169153	7169653	1.0						
chr7	29194964	29195464	1.0						
chr17	1181607	1182107	1.0						
chr22	50469074	50469574	1.0						
chr19	14613391	14613891	0.9107	0.413					
chr2	69601067	69601567	1.0						
chr3	31522117	31522617	1.0						
chr2	69505645	69506145	0.9892	0.1466					
chr12	122720472	122720972	0.99	0.141					
chr9	69671228	69671728	0.9925	0.1225					
chr10	132335291	132335791	0.9985	0.0433	0.0287	0.0183			
chr6	37220919	37221419	1.0						
chr1	226882733	226883233	1.0						
chr18	711569	712069	1.0						
chr18	8966777	8967277	1.0						
chr13	112688454	112688954	1.0						
chr6	33430165	33430665	1.0						
chr9	88936566	88937066	1.0						
chr11	44556849	44557349	0.9389	0.3443					
chr18	48662087	48662587	0.9988	0.0499					
chr2	223465717	223466217	0.9951	0.0984					
chr17	40540924	40541424	1.0						
chr16	1289887	1290387	1.0						
chr2	43107676	43108176	0.7526	0.6541	0.0446	0.0614			
chr14	100699014	100699514	1.0						
chr17	44288440	44288940	1.0						
chr1	182927979	182928479	1.0						
chr1	201571067	201571567	0.9918	0.0847	0.0957				
chr12	52859960	52860460	1.0						
chr11	95461808	95462308	1.0						
chr9	131584667	131585167	1.0						
chr8	42155537	42156037	1.0						
chr9	131720265	131720765	1.0						
chr1	62210162	62210662	0.9295	0.3688					
chr17	46028915	46029415	1.0						
chr15	66921211	66921711	1.0						
chr12	92574772	92575272	1.0						
chr14	24632238	24632738	1.0						
chr1	201535408	201535908	0.9949	0.0663	0.076				
chr12	6168726	6169226	1.0						
chr10	89241726	89242226	1.0						
chr1	39043551	39044051	1.0						
chr10	14572366	14572866	1.0						
chr6	100617567	100618067	1.0						
chr8	30324365	30324865	0.9228	0.3852					
chr7	40733567	40734067	1.0						
chr11	102925043	102925543	1.0						
chr14	22803194	22803694	1.0						
chr20	19942938	19943438	0.9989	0.0304	0.0364				
chr19	47159077	47159577	0.905	0.4254					
chr1	35800132	35800632	1.0						
chr14	100375332	100375832	0.9993	0.024	0.0275				
chr2	136216116	136216616	0.7394	0.6733					
chr3	30578517	30579017	0.997	0.0734	0.0255				
chr2	60984671	60985171	0.9742	0.2259					
chr9	130022955	130023455	0.8176	0.5758					
chr3	127729482	127729982	0.9948	0.1019					
chr7	122092913	122093413	1.0						
chr16	81461731	81462231	1.0						
chr8	125182073	125182573	0.3261	0.9453					
chr5	36657554	36658054	0.9989	0.0382	0.0282				
chr12	104505191	104505691	0.9867	0.1623					
chr19	7337382	7337882	0.7795	0.6097	0.1005	0.1032			
chr9	104835097	104835597	1.0						
chr20	50516486	50516986	0.7767	0.6225	0.0958				
chr8	93905146	93905646	1.0						
chr16	68384831	68385331	1.0						
chr8	141089169	141089669	0.818	0.5578	0.1404				
chr13	26785783	26786283	1.0						
chr19	10372695	10373195	0.9994	0.0341					
chr11	64900166	64900666	1.0						
chr8	55927984	55928484	1.0						
chr5	139666950	139667450	1.0						
chr5	14223371	14223871	1.0						
chr17	62171466	62171966	1.0						
chr1	58670125	58670625	1.0						
chr17	49403470	49403970	1.0						
chr22	20244964	20245464	1.0						
chr4	140720952	140721452	0.8524	0.5085	0.1222				
chr2	224519986	224520486	1.0						
chr4	168881233	168881733	0.9992	0.0284	0.0292				
chr1	154439516	154440016	1.0						
chr3	47083743	47084243	0.9865	0.1488	0.0677				
chr7	100365083	100365583	1.0						
chr13	49938255	49938755	1.0						
chr18	51171752	51172252	1.0						
chr5	157597883	157598383	1.0						
chr5	151124145	151124645	0.7951	0.6065					
chr19	35711203	35711703	1.0						
chr4	99856118	99856618	1.0						
chr18	69948835	69949335	1.0						
chr6	144152459	144152959	1.0						
chr2	171336602	171337102	0.7689	0.6394					
chr18	23563574	23564074	1.0						
chr1	145988771	145989271	1.0						
chr19	49906387	49906887	1.0						
chrX	46792394	46792894	0.999	0.0443					
chr3	123492216	123492716	1.0						
chr18	69897646	69898146	1.0						
chr15	89963200	89963700	0.9934	0.1145					
